OverallQual,GrLivArea,BsmtQual,Neighborhood,KitchenQual,BsmtFinSF1,TotalBsmtSF,1stFlrSF,GarageArea,FullBath,MasVnrArea,ExterQual,YearRemod/Add,MSSubClass,YearBuilt,SalePrice
8,1848,Gd,Somerst,Gd,484.0,975.0,975,592.0,2,0.0,Gd,2000,60,2000,254000
8,788,Gd,Greens,Gd,728.0,728.0,788,484.0,1,0.0,Gd,1980,120,1980,155000
8,1226,Gd,Greens,Gd,1052.0,1226.0,1226,484.0,1,0.0,Gd,1978,120,1978,206000
6,1479,TA,Sawyer,Gd,533.0,725.0,725,475.0,2,289.0,Gd,2005,60,1976,130500
7,1492,Gd,Somerst,Gd,833.0,1492.0,1492,596.0,2,0.0,Gd,2002,20,2002,230000
6,1829,TA,NWAmes,TA,506.0,1829.0,1829,535.0,2,120.0,TA,1967,20,1967,218500
6,2495,Gd,NWAmes,Gd,1137.0,1280.0,1280,660.0,2,0.0,TA,1993,60,1993,243500
6,1610,TA,NWAmes,Gd,1200.0,1610.0,1610,480.0,2,28.0,TA,2001,20,1977,205000
6,1891,Gd,NWAmes,TA,687.0,1224.0,1287,678.0,3,0.0,TA,1978,50,1978,212500
7,1714,Gd,NWAmes,TA,394.0,980.0,980,496.0,2,42.0,TA,1988,60,1988,196500
6,1381,TA,NWAmes,Gd,982.0,1161.0,1381,676.0,1,0.0,TA,2006,20,1972,197500
6,1645,TA,NWAmes,TA,329.0,715.0,930,441.0,1,0.0,TA,1971,60,1971,171000
5,1232,TA,NAmes,TA,698.0,1232.0,1232,490.0,1,172.0,TA,1966,20,1966,142250
6,1328,TA,NWAmes,TA,569.0,1328.0,1328,528.0,1,451.0,TA,1963,20,1963,143000
4,1225,TA,NAmes,TA,569.0,950.0,1225,0.0,1,0.0,TA,1959,20,1959,128950
5,1209,Gd,NAmes,TA,1059.0,1209.0,1209,504.0,1,0.0,TA,1966,20,1966,159000
5,1510,TA,NAmes,Gd,1010.0,1510.0,1510,517.0,2,268.0,TA,1967,20,1967,178900
6,1775,TA,NAmes,TA,0.0,533.0,1131,480.0,2,0.0,TA,1964,80,1964,136300
5,1152,TA,NAmes,TA,1014.0,1152.0,1152,484.0,1,86.0,TA,1964,80,1964,180500
6,1054,TA,NAmes,Gd,763.0,936.0,1054,480.0,1,156.0,TA,1963,85,1963,137500
5,1728,TA,NAmes,TA,1500.0,1728.0,1728,0.0,2,144.0,TA,2001,90,1962,84900
5,1078,TA,NAmes,Gd,49.0,1078.0,1078,240.0,1,0.0,TA,1996,20,1950,142125
5,2461,TA,NAmes,TA,670.0,1140.0,1929,400.0,2,265.0,Gd,2002,50,1952,197600
6,1556,TA,NAmes,TA,300.0,782.0,1019,470.0,2,340.0,TA,1950,50,1949,172500
5,858,TA,BrkSide,TA,696.0,858.0,858,0.0,1,0.0,TA,2008,20,1958,116500
3,1306,TA,BrkSide,Fa,0.0,728.0,1306,0.0,1,0.0,TA,1966,30,1940,76500
5,1063,TA,NAmes,TA,354.0,1056.0,1063,280.0,1,110.0,TA,1954,20,1954,128000
6,1520,TA,NAmes,TA,674.0,1156.0,1520,364.0,1,164.0,TA,1972,80,1955,153000
5,1268,TA,NAmes,TA,540.0,1268.0,1268,244.0,1,200.0,TA,1954,20,1954,132000
6,1128,TA,NAmes,Gd,944.0,1080.0,1128,315.0,1,216.0,TA,2008,85,1966,178000
5,2274,TA,NAmes,TA,443.0,1105.0,1105,480.0,2,361.0,TA,1960,90,1960,154300
7,2207,Gd,NAmes,TA,912.0,1947.0,2207,576.0,2,287.0,TA,1989,20,1970,180000
6,1888,TA,NAmes,Gd,247.0,1517.0,1888,578.0,2,0.0,Gd,2002,20,1966,190000
5,1604,TA,NAmes,TA,0.0,1604.0,1604,576.0,2,0.0,TA,1958,90,1958,135000
7,1480,Gd,NAmes,Gd,1188.0,1480.0,1480,620.0,2,506.0,Gd,2009,20,2003,214000
5,1143,TA,NAmes,TA,856.0,1143.0,1143,308.0,1,150.0,TA,1959,20,1959,136000
5,1700,TA,NAmes,Gd,1018.0,1398.0,1700,447.0,1,0.0,TA,1959,20,1959,165500
5,1314,TA,NAmes,TA,922.0,1314.0,1314,294.0,1,0.0,TA,1957,20,1957,145000
6,1194,TA,NAmes,TA,0.0,1194.0,1194,312.0,1,220.0,TA,1959,20,1959,148000
5,1188,TA,NAmes,TA,1000.0,1188.0,1188,531.0,1,180.0,TA,1959,20,1959,142000
5,1264,TA,NAmes,TA,697.0,1268.0,1264,461.0,1,324.0,TA,1960,20,1960,167500
5,1206,TA,NAmes,TA,936.0,1206.0,1206,312.0,1,91.0,TA,1959,20,1959,108538
6,1580,TA,NAmes,TA,734.0,1244.0,1580,440.0,1,432.0,TA,1959,20,1959,159500
4,1337,TA,NAmes,TA,0.0,832.0,832,263.0,1,0.0,TA,1956,50,1956,108000
5,1064,TA,NAmes,Fa,339.0,864.0,1064,318.0,1,0.0,TA,1952,20,1952,135000
5,972,TA,NAmes,TA,648.0,972.0,972,305.0,1,0.0,TA,1955,20,1955,122500
5,988,TA,NAmes,TA,532.0,988.0,988,264.0,1,0.0,TA,1958,190,1958,119000
5,1057,TA,NAmes,Gd,731.0,1057.0,1057,246.0,1,0.0,TA,2007,20,1953,109000
4,985,TA,NAmes,TA,0.0,576.0,985,676.0,1,0.0,TA,1994,30,1920,105000
5,827,,NAmes,TA,0.0,0.0,827,392.0,1,0.0,TA,2007,20,1955,107500
5,1086,TA,NAmes,TA,320.0,1086.0,1086,490.0,1,104.0,TA,2003,20,1954,144900
5,936,TA,NAmes,TA,248.0,936.0,936,308.0,1,0.0,TA,2000,20,1956,129000
6,1458,TA,NAmes,TA,0.0,912.0,912,330.0,1,0.0,TA,1950,50,1948,97500
6,1056,TA,OldTown,TA,1056.0,1056.0,1056,576.0,0,0.0,TA,1980,90,1980,144000
5,1287,TA,NAmes,Gd,72.0,1063.0,1287,576.0,1,0.0,TA,2006,20,1959,162000
7,2978,Gd,NAmes,Gd,0.0,710.0,1898,564.0,2,300.0,Gd,2007,80,1967,242000
6,1224,TA,NAmes,TA,481.0,816.0,816,280.0,1,0.0,TA,2004,50,1948,132000
5,1246,TA,NAmes,Gd,340.0,1246.0,1246,305.0,1,0.0,TA,1994,20,1959,154000
5,1385,TA,NAmes,TA,507.0,910.0,910,720.0,2,0.0,TA,1952,50,1952,166000
5,900,TA,NAmes,Gd,234.0,900.0,900,576.0,1,0.0,TA,2000,20,1951,134800
6,1116,TA,NAmes,TA,0.0,1116.0,1116,440.0,1,261.0,TA,1962,20,1962,160000
5,1175,TA,NAmes,TA,588.0,1175.0,1175,484.0,1,0.0,TA,1960,20,1960,148000
6,1395,TA,NAmes,TA,717.0,1395.0,1395,440.0,1,218.0,TA,1984,20,1963,192000
6,1839,TA,NAmes,TA,0.0,756.0,1051,442.0,1,351.0,TA,1966,60,1966,155000
4,1844,TA,OldTown,TA,48.0,709.0,1157,240.0,1,771.0,TA,1954,50,1900,80400
4,1140,TA,OldTown,TA,0.0,576.0,792,0.0,1,0.0,TA,2004,50,1910,96500
5,936,TA,OldTown,TA,579.0,936.0,936,0.0,1,0.0,TA,1950,30,1920,109500
5,1028,TA,OldTown,TA,0.0,1008.0,1028,360.0,1,0.0,TA,1950,30,1927,115000
5,1347,TA,OldTown,Gd,274.0,1347.0,1347,551.0,1,0.0,TA,1957,20,1957,143000
3,1605,Fa,OldTown,TA,0.0,840.0,840,379.0,2,0.0,Gd,1950,50,1915,107400
4,747,TA,OldTown,TA,0.0,747.0,747,220.0,1,0.0,TA,1950,30,1945,80000
5,804,TA,OldTown,Gd,510.0,788.0,804,240.0,1,294.0,TA,1992,30,1940,119000
6,1251,Gd,OldTown,Fa,0.0,827.0,827,240.0,1,0.0,TA,2000,45,1938,119000
5,1633,TA,OldTown,Gd,780.0,1027.0,1027,240.0,1,0.0,TA,2009,50,1948,129000
5,1245,TA,OldTown,TA,176.0,1008.0,1060,315.0,1,0.0,TA,1962,50,1920,100000
2,832,Fa,OldTown,TA,0.0,678.0,832,780.0,1,0.0,TA,1970,30,1923,12789
6,720,TA,OldTown,TA,0.0,624.0,720,484.0,1,0.0,TA,2003,30,1928,105900
8,1566,TA,OldTown,Gd,0.0,930.0,930,288.0,2,0.0,Gd,2003,70,1900,150000
5,1652,Fa,OldTown,TA,686.0,686.0,966,416.0,2,0.0,TA,1950,50,1915,139000
8,2268,Fa,OldTown,Gd,0.0,346.0,1157,624.0,3,0.0,Gd,2002,70,1890,240000
5,2256,TA,OldTown,Fa,0.0,840.0,1128,0.0,2,0.0,TA,1950,190,1910,76500
6,1236,TA,OldTown,TA,600.0,912.0,1236,923.0,1,0.0,TA,1996,20,1957,149700
4,1363,Fa,OldTown,TA,0.0,622.0,741,528.0,1,0.0,TA,1950,70,1910,125500
4,2290,TA,OldTown,TA,0.0,777.0,1246,560.0,2,0.0,TA,1950,190,1885,122500
6,1470,Fa,OldTown,TA,283.0,738.0,868,624.0,1,0.0,TA,1994,70,1922,140750
5,1612,TA,BrkSide,TA,788.0,988.0,1030,363.0,1,0.0,TA,1997,50,1950,128500
7,2068,Gd,BrkSide,Gd,474.0,1108.0,1160,315.0,1,0.0,TA,2005,75,1922,209500
4,765,TA,BrkSide,Gd,188.0,765.0,765,200.0,1,0.0,TA,1950,30,1925,87000
6,1132,TA,BrkSide,TA,452.0,608.0,608,240.0,1,0.0,TA,1950,50,1939,134000
6,1196,TA,BrkSide,TA,264.0,572.0,848,576.0,1,0.0,TA,1950,50,1940,128000
5,1453,TA,BrkSide,Gd,360.0,835.0,955,240.0,1,300.0,TA,1950,50,1942,132000
6,1416,TA,BrkSide,TA,300.0,780.0,780,312.0,1,0.0,TA,1950,50,1948,139900
5,1040,TA,BrkSide,TA,276.0,528.0,548,624.0,1,0.0,TA,1980,50,1936,123900
5,1536,TA,BrkSide,TA,448.0,928.0,928,480.0,2,0.0,TA,1950,50,1930,138400
6,1068,Fa,OldTown,TA,960.0,1124.0,1068,288.0,1,0.0,TA,1950,30,1923,109500
7,1710,TA,OldTown,TA,0.0,576.0,902,480.0,2,0.0,TA,1950,70,1921,140000
4,1962,TA,OldTown,TA,0.0,888.0,888,572.0,1,0.0,TA,1950,50,1915,149500
6,1560,TA,OldTown,Gd,0.0,780.0,780,0.0,1,0.0,Gd,2009,70,1912,159900
6,1324,TA,OldTown,TA,0.0,662.0,662,180.0,1,0.0,TA,1993,70,1920,122000
5,816,Gd,IDOTRR,TA,104.0,816.0,816,516.0,1,0.0,Fa,1963,90,1963,110000
4,1092,,IDOTRR,Fa,0.0,0.0,372,0.0,2,0.0,Fa,1950,190,1930,55000
5,1812,Gd,OldTown,Gd,0.0,360.0,1032,672.0,2,0.0,TA,1996,190,1900,140000
7,2403,TA,ClearCr,TA,0.0,1032.0,1207,349.0,2,0.0,TA,1950,70,1940,244400
5,1675,Gd,ClearCr,TA,766.0,1422.0,1675,365.0,2,90.0,TA,1959,20,1959,173000
5,1224,Gd,ClearCr,Po,0.0,689.0,725,180.0,1,0.0,TA,1950,50,1917,107500
5,1392,TA,SWISU,TA,1026.0,1212.0,1212,0.0,1,0.0,Fa,1950,190,1915,100000
6,919,Fa,SWISU,TA,368.0,600.0,600,231.0,1,0.0,TA,1950,50,1940,95000
4,1884,TA,SWISU,TA,73.0,707.0,942,0.0,1,0.0,TA,1950,70,1907,93369
5,1680,TA,SWISU,TA,736.0,856.0,936,450.0,2,0.0,TA,1950,190,1910,114900
5,1020,TA,Sawyer,TA,0.0,780.0,780,0.0,1,0.0,TA,1996,50,1875,94000
4,1832,TA,Sawyer,TA,704.0,1832.0,1832,0.0,2,72.0,Fa,1967,90,1967,136000
4,1768,TA,Sawyer,TA,0.0,1768.0,1768,0.0,2,0.0,TA,1968,90,1968,136500
5,1039,TA,Sawyer,TA,841.0,1039.0,1039,504.0,1,0.0,TA,1965,190,1965,131500
5,1392,Gd,Sawyer,TA,1302.0,1392.0,1392,528.0,1,180.0,TA,1996,20,1957,121500
5,912,TA,Sawyer,TA,842.0,912.0,912,336.0,1,0.0,TA,1967,20,1967,125000
5,1060,TA,Sawyer,Gd,188.0,1060.0,1060,270.0,1,0.0,TA,2001,20,1968,154000
5,892,TA,Sawyer,Gd,240.0,864.0,892,416.0,1,47.0,TA,2008,20,1966,137900
6,1352,TA,Sawyer,TA,371.0,663.0,663,299.0,1,143.0,TA,1969,60,1969,158000
5,864,TA,Sawyer,TA,775.0,864.0,864,280.0,1,0.0,TA,1968,20,1968,137250
5,1373,Gd,Sawyer,TA,1319.0,1319.0,1373,591.0,1,0.0,TA,1978,90,1978,160250
5,1440,TA,Sawyer,TA,267.0,720.0,720,480.0,1,0.0,TA,1968,60,1968,163000
6,1386,TA,Sawyer,TA,438.0,672.0,672,440.0,2,328.0,TA,1978,60,1978,158900
7,2260,Ex,ClearCr,Gd,1201.0,1306.0,1306,533.0,2,0.0,Gd,1997,60,1996,328000
7,1483,Gd,ClearCr,TA,1092.0,1420.0,1483,690.0,1,0.0,Gd,2001,20,1977,270000
4,756,Fa,Sawyer,TA,0.0,660.0,756,440.0,1,0.0,TA,1950,30,1927,85000
4,1067,Gd,Sawyer,Gd,442.0,1067.0,1067,436.0,2,0.0,TA,1995,20,1950,128000
7,1524,Gd,ClearCr,Gd,1258.0,1332.0,1332,586.0,0,0.0,Gd,1979,40,1979,260000
6,1981,Gd,ClearCr,Gd,964.0,1117.0,1117,522.0,2,288.0,TA,1992,60,1978,230000
3,1610,TA,Edwards,Fa,288.0,972.0,1052,480.0,2,0.0,TA,1990,50,1938,124000
5,835,TA,Edwards,TA,108.0,458.0,835,366.0,1,0.0,TA,1950,30,1920,83000
6,1074,TA,Edwards,Gd,104.0,663.0,1074,467.0,1,0.0,TA,1987,20,1950,144500
5,1144,TA,Edwards,TA,739.0,1144.0,1144,596.0,1,0.0,TA,1956,20,1956,129000
5,1172,TA,Edwards,TA,954.0,1172.0,1172,366.0,1,0.0,TA,1998,20,1954,128000
6,1212,Gd,Edwards,Gd,36.0,1212.0,1212,460.0,2,0.0,TA,2009,20,2009,186000
7,1508,Gd,Edwards,Gd,1346.0,1508.0,1508,572.0,1,96.0,Gd,2010,20,2009,308030
5,1298,TA,Edwards,TA,0.0,1250.0,1298,504.0,2,0.0,TA,1964,20,1964,114000
4,930,,Edwards,Gd,0.0,0.0,930,308.0,1,0.0,TA,2006,20,1946,84900
6,1732,Gd,SawyerW,Gd,0.0,741.0,977,476.0,2,336.0,Gd,1985,60,1985,178000
7,1433,Gd,SawyerW,Gd,1433.0,1433.0,1433,528.0,1,177.0,Gd,1987,20,1987,270000
6,1802,Gd,SawyerW,Gd,860.0,946.0,964,1017.0,2,85.0,Gd,1993,60,1993,218000
7,1949,Gd,SawyerW,Gd,750.0,1050.0,1062,574.0,2,246.0,Gd,1994,60,1993,236000
6,996,Gd,SawyerW,Gd,747.0,936.0,996,564.0,1,0.0,TA,1992,85,1992,147000
8,1694,Gd,CollgCr,Gd,0.0,1694.0,1694,776.0,2,72.0,Gd,2008,20,2008,245350
7,1208,Gd,CollgCr,Gd,686.0,1187.0,1208,632.0,2,24.0,Gd,2006,20,2006,206000
7,1226,Gd,CollgCr,Gd,0.0,1226.0,1226,740.0,2,0.0,TA,2009,20,2009,198900
7,1222,Gd,CollgCr,Gd,24.0,1222.0,1222,615.0,2,80.0,Gd,2010,20,2010,187000
7,3222,Gd,SawyerW,Gd,1470.0,1673.0,1699,594.0,3,0.0,TA,1990,60,1990,320000
6,1445,Fa,SawyerW,TA,0.0,676.0,831,484.0,2,0.0,TA,1993,50,1900,138500
6,1052,TA,ClearCr,TA,504.0,1010.0,1052,440.0,1,80.0,TA,1971,80,1971,155000
5,965,Gd,CollgCr,TA,870.0,870.0,965,580.0,1,0.0,TA,1996,85,1996,159000
7,1692,Gd,CollgCr,TA,353.0,878.0,892,513.0,2,0.0,TA,1998,60,1997,191000
6,1682,Gd,CollgCr,Gd,505.0,804.0,804,523.0,2,116.0,TA,1998,60,1998,200500
5,1026,Gd,CollgCr,TA,198.0,1026.0,1026,308.0,1,0.0,Gd,2004,20,1977,150000
6,1392,Gd,CollgCr,TA,378.0,689.0,689,299.0,1,153.0,TA,1977,60,1977,161750
