OverallQual,GrLivArea,BsmtQual,Neighborhood,KitchenQual,BsmtFinSF1,TotalBsmtSF,1stFlrSF,GarageArea,FullBath,MasVnrArea,ExterQual,YearRemod/Add,MSSubClass,YearBuilt,SalePrice
6,1509,Gd,Timber,Gd,783.0,1461.0,1509,600.0,2,219.0,Gd,1989,80,1988,175000
4,1178,TA,IDOTRR,TA,0.0,859.0,859,384.0,1,0.0,TA,1950,50,1900,102776
7,1145,Gd,Blmngtn,Gd,16.0,1145.0,1145,437.0,2,14.0,Gd,2006,120,2006,160000
6,1827,TA,BrkSide,TA,0.0,848.0,1017,240.0,1,0.0,TA,1996,70,1924,202500
6,987,TA,BrDale,TA,330.0,483.0,483,264.0,1,158.0,TA,1973,160,1973,100000
8,2376,Ex,NridgHt,Gd,0.0,1158.0,1158,853.0,3,380.0,Gd,2006,60,2005,325300
6,2814,Gd,SawyerW,Gd,779.0,1077.0,1093,614.0,2,190.0,Gd,2002,60,1995,260000
5,988,TA,NAmes,TA,725.0,988.0,988,360.0,1,52.0,TA,1966,20,1966,129250
8,1852,Gd,CollgCr,Gd,668.0,1004.0,1004,660.0,2,320.0,Gd,2000,60,1999,230000
7,1628,Gd,Gilbert,TA,284.0,384.0,958,390.0,2,32.0,TA,1997,80,1996,189000
7,1492,Gd,CollgCr,Gd,24.0,1492.0,1492,608.0,2,180.0,Gd,2001,20,2001,201000
6,1368,TA,OldTown,TA,0.0,684.0,684,216.0,1,0.0,TA,1993,70,1910,114504
7,1501,Gd,Timber,Gd,949.0,1501.0,1501,512.0,2,352.0,Gd,1987,120,1987,244000
6,1189,Ex,Mitchel,TA,864.0,1189.0,1189,392.0,2,197.0,TA,1997,120,1997,160500
5,1337,TA,NAmes,Gd,32.0,572.0,1337,264.0,1,0.0,TA,2006,20,1950,141500
5,1210,,NAmes,TA,0.0,0.0,1210,616.0,1,140.0,TA,1953,20,1953,102900
6,1008,TA,NAmes,TA,0.0,1008.0,1008,430.0,1,332.0,TA,1963,20,1963,135000
5,1250,TA,Edwards,Fa,0.0,686.0,686,280.0,1,0.0,TA,1950,50,1918,116000
6,1644,Gd,Gilbert,TA,0.0,941.0,961,460.0,2,0.0,TA,2000,60,1999,185000
5,1360,TA,OldTown,TA,0.0,680.0,680,330.0,1,0.0,TA,2003,70,1910,111000
8,2169,Gd,CollgCr,Gd,0.0,1284.0,1284,647.0,2,149.0,Gd,2002,60,2002,228500
8,1830,Gd,Somerst,Gd,0.0,1302.0,1302,859.0,2,0.0,Gd,2006,60,2006,221300
10,2076,Ex,NridgHt,Ex,1386.0,2076.0,2076,850.0,2,,Ex,2006,20,2006,465000
8,2202,Ex,NoRidge,Gd,335.0,1105.0,1105,517.0,2,309.0,Gd,1993,60,1992,263000
4,765,TA,BrkSide,Gd,188.0,765.0,765,200.0,1,0.0,TA,1950,30,1925,87000
5,2240,,SawyerW,TA,0.0,0.0,1120,528.0,2,0.0,TA,1979,90,1979,142953
3,1605,Fa,OldTown,TA,0.0,840.0,840,379.0,2,0.0,Gd,1950,50,1915,107400
5,894,TA,Sawyer,TA,553.0,894.0,894,336.0,1,0.0,TA,2009,20,1965,138500
8,1646,Ex,Crawfor,Gd,1373.0,1594.0,1646,482.0,2,174.0,Gd,2005,120,2004,275000
5,924,TA,OldTown,TA,292.0,924.0,924,420.0,1,0.0,TA,1952,20,1952,112500
7,2462,Gd,Gilbert,Gd,57.0,1392.0,1392,576.0,2,456.0,Gd,2006,60,2005,320000
7,1382,Gd,Gilbert,TA,189.0,384.0,751,396.0,2,0.0,Gd,1998,80,1998,177500
5,1306,TA,NAmes,TA,860.0,992.0,1306,756.0,1,0.0,TA,2000,20,1957,153000
7,1382,Gd,Somerst,Gd,641.0,673.0,673,490.0,2,0.0,Gd,2000,160,2000,165000
6,1556,TA,NAmes,TA,300.0,782.0,1019,470.0,2,340.0,TA,1950,50,1949,172500
6,1434,TA,NAmes,TA,844.0,1434.0,1434,528.0,2,440.0,TA,1974,20,1974,157000
8,1280,Gd,StoneBr,Gd,263.0,1280.0,1280,506.0,2,0.0,Gd,1992,120,1992,191500
10,2790,Ex,NridgHt,Ex,1082.0,1620.0,1632,1150.0,2,468.0,Ex,2006,60,2005,460000
5,1298,TA,Edwards,TA,626.0,720.0,854,256.0,1,0.0,TA,1950,50,1941,122000
7,1452,Gd,Somerst,Gd,450.0,691.0,713,506.0,2,218.0,Gd,1999,160,1999,183900
6,1672,TA,BrkSide,Gd,521.0,981.0,1014,240.0,1,0.0,TA,1989,50,1940,164900
8,1916,Gd,Mitchel,Gd,615.0,1049.0,1036,741.0,2,0.0,Gd,1999,60,1998,254900
8,1768,Gd,CollgCr,Gd,20.0,866.0,866,578.0,2,0.0,Gd,2007,60,2007,212000
6,1382,TA,NAmes,TA,672.0,1362.0,1382,884.0,1,399.0,TA,1962,80,1962,176000
8,1874,Gd,Somerst,Gd,0.0,1058.0,1058,588.0,2,0.0,Gd,2001,60,2000,220000
5,971,Gd,CollgCr,TA,523.0,971.0,971,300.0,1,0.0,TA,1969,20,1969,128500
8,1489,Gd,Somerst,Gd,0.0,1489.0,1489,776.0,2,0.0,Gd,2006,20,2006,232600
5,1159,TA,Sawyer,TA,673.0,1051.0,1159,336.0,1,188.0,TA,1968,20,1968,158000
5,1214,TA,NAmes,TA,695.0,1214.0,1214,318.0,2,196.0,TA,1967,20,1967,143000
7,1729,Gd,CollgCr,Gd,0.0,860.0,860,542.0,2,214.0,Gd,2002,60,2002,200000
6,1251,Gd,OldTown,Fa,0.0,827.0,827,240.0,1,0.0,TA,2000,45,1938,119000
9,2184,Ex,NridgHt,Ex,936.0,1104.0,1130,836.0,2,154.0,Ex,2008,60,2008,335000
8,2687,Gd,NoRidge,Gd,1173.0,1455.0,1466,810.0,2,150.0,Gd,2000,60,2000,327000
5,1652,Fa,OldTown,TA,686.0,686.0,966,416.0,2,0.0,TA,1950,50,1915,139000
7,1162,Gd,SawyerW,Gd,0.0,1162.0,1162,483.0,2,0.0,Gd,2007,20,2007,170000
3,1040,,NAmes,TA,0.0,0.0,1040,400.0,2,0.0,TA,1950,90,1950,81400
8,2268,Fa,OldTown,Gd,0.0,346.0,1157,624.0,3,0.0,Gd,2002,70,1890,240000
5,1374,TA,Crawfor,TA,0.0,884.0,932,225.0,1,0.0,TA,1950,50,1938,110000
6,1839,TA,Crawfor,Gd,1186.0,1477.0,1839,416.0,2,106.0,TA,2004,20,1957,257500
7,1724,Gd,Edwards,Gd,0.0,796.0,806,616.0,2,190.0,Gd,2004,60,2003,196500
5,894,Gd,CollgCr,TA,663.0,864.0,894,440.0,1,0.0,TA,1974,20,1974,131000
9,1720,Ex,CollgCr,Ex,1104.0,1720.0,1720,846.0,2,364.0,Ex,2008,20,2008,332000
8,1337,Gd,StoneBr,Gd,733.0,1337.0,1337,462.0,2,0.0,Gd,1993,120,1993,180000
5,2337,TA,OldTown,TA,0.0,662.0,1422,560.0,2,0.0,TA,1950,190,1900,90000
5,864,TA,CollgCr,TA,360.0,864.0,864,288.0,1,0.0,TA,1972,20,1972,128500
5,914,Gd,CollgCr,TA,298.0,870.0,914,576.0,1,0.0,Gd,1996,85,1996,148000
8,1861,Gd,Somerst,Gd,0.0,1341.0,1341,851.0,3,156.0,Gd,2007,60,2007,257000
6,1675,Gd,Gilbert,TA,0.0,841.0,892,502.0,2,0.0,TA,1999,60,1999,181000
6,1671,Gd,Gilbert,TA,786.0,959.0,959,472.0,2,0.0,TA,2000,60,2000,173000
5,1422,TA,NAmes,TA,566.0,925.0,1422,576.0,1,0.0,TA,1990,20,1970,155000
5,1306,TA,OldTown,Gd,0.0,240.0,810,472.0,1,0.0,TA,2003,50,1910,130000
7,1428,TA,OldTown,TA,208.0,712.0,848,576.0,1,0.0,TA,1970,70,1900,139900
8,3228,Gd,NoRidge,Gd,1231.0,3200.0,3228,546.0,3,0.0,Gd,1993,20,1992,430000
5,1187,TA,NAmes,TA,311.0,864.0,1187,440.0,1,0.0,TA,1961,20,1961,140500
6,1369,TA,Edwards,TA,551.0,672.0,697,300.0,2,0.0,TA,1950,70,1925,103600
5,969,TA,CollgCr,TA,716.0,969.0,969,440.0,1,0.0,TA,1975,20,1975,122000
5,936,TA,NAmes,TA,734.0,896.0,936,288.0,1,0.0,TA,1962,85,1962,130000
7,2385,Gd,NoRidge,Gd,0.0,1066.0,1108,600.0,2,275.0,Gd,1998,60,1998,252000
6,1328,TA,NWAmes,TA,569.0,1328.0,1328,528.0,1,451.0,TA,1963,20,1963,143000
6,1656,TA,NAmes,TA,639.0,1080.0,1656,528.0,1,112.0,TA,1960,20,1960,215000
5,1176,TA,NAmes,TA,621.0,1176.0,1176,292.0,1,143.0,TA,1957,20,1957,136500
4,924,Gd,Edwards,Fa,348.0,672.0,672,280.0,1,0.0,TA,1950,190,1941,80000
5,2136,TA,NAmes,TA,756.0,2136.0,2136,528.0,2,44.0,TA,1951,20,1951,137900
5,1601,TA,Sawyer,TA,0.0,533.0,1021,300.0,1,0.0,TA,1987,80,1958,140000
8,1776,Ex,Timber,Gd,80.0,1732.0,1776,712.0,2,100.0,Gd,2007,20,2006,283463
9,1666,Ex,NridgHt,Gd,415.0,1666.0,1666,575.0,2,572.0,Ex,2006,120,2006,310090
4,1350,TA,Edwards,TA,799.0,967.0,1350,504.0,1,0.0,TA,1954,20,1954,146000
7,2784,Gd,NWAmes,Gd,790.0,1392.0,1392,564.0,3,184.0,TA,1978,60,1978,250000
5,698,TA,Edwards,TA,0.0,698.0,698,0.0,1,0.0,TA,2008,20,1947,118000
5,970,TA,Sawyer,TA,630.0,970.0,970,624.0,1,0.0,TA,1963,20,1963,132500
6,1337,Gd,NAmes,Gd,930.0,1405.0,1337,522.0,2,0.0,Gd,1998,120,1997,177000
4,1196,TA,IDOTRR,TA,197.0,1196.0,1196,440.0,1,0.0,TA,1990,30,1916,109900
5,1377,TA,NAmes,TA,1098.0,1377.0,1377,351.0,1,0.0,TA,1960,20,1960,156500
5,816,Gd,Mitchel,TA,596.0,816.0,816,264.0,1,0.0,TA,1983,20,1983,139000
4,720,TA,IDOTRR,TA,495.0,720.0,720,0.0,1,0.0,TA,1950,30,1920,34900
7,1530,Ex,StoneBr,Gd,1274.0,1530.0,1530,430.0,2,16.0,Gd,2005,20,2005,260000
6,1100,Gd,SawyerW,TA,0.0,1100.0,1100,0.0,1,0.0,TA,2007,20,2006,146000
7,2263,TA,NWAmes,Gd,795.0,795.0,1468,539.0,2,34.0,TA,1994,60,1977,235000
5,864,TA,Sawyer,TA,864.0,864.0,864,440.0,1,0.0,TA,1961,20,1961,122000
7,1479,TA,NAmes,Gd,626.0,725.0,725,484.0,1,138.0,TA,2004,60,1972,184000
7,1250,Gd,Somerst,Gd,0.0,625.0,625,528.0,2,0.0,Gd,2007,160,2006,164700
5,1044,TA,IDOTRR,Fa,0.0,540.0,1044,504.0,1,0.0,Fa,1952,20,1952,55993
7,1614,Gd,NridgHt,Gd,1178.0,1614.0,1614,878.0,2,210.0,Gd,2006,20,2005,245700
6,1324,TA,OldTown,TA,0.0,662.0,662,180.0,1,0.0,TA,1993,70,1920,122000
5,691,Fa,OldTown,Ex,0.0,691.0,691,216.0,1,0.0,TA,1950,30,1920,86000
4,1294,,OldTown,TA,0.0,0.0,694,0.0,2,0.0,TA,2000,190,1900,106250
7,2149,Ex,Mitchel,Gd,1351.0,1434.0,1518,670.0,1,0.0,Gd,2003,50,2003,239686
7,1098,Gd,Crawfor,TA,246.0,531.0,567,216.0,1,0.0,TA,1995,70,1930,148500
5,1209,Gd,NAmes,TA,1059.0,1209.0,1209,504.0,1,0.0,TA,1966,20,1966,159000
5,1296,TA,SWISU,Fa,133.0,1107.0,1296,260.0,2,203.0,TA,1999,30,1924,104000
6,1604,Gd,Gilbert,TA,851.0,926.0,926,472.0,2,0.0,TA,1998,60,1998,195500
5,1472,TA,OldTown,Gd,0.0,702.0,842,250.0,1,0.0,TA,1994,50,1925,125000
8,2499,TA,Veenker,TA,0.0,392.0,1487,527.0,2,200.0,Gd,1976,80,1976,180500
7,1340,Gd,Gilbert,Gd,24.0,1340.0,1340,396.0,2,0.0,Gd,2007,20,2007,181134
5,1316,Fa,BrkSide,TA,0.0,750.0,960,576.0,1,0.0,TA,1950,50,1926,90000
5,1433,TA,NAmes,TA,915.0,1251.0,1433,441.0,1,0.0,TA,1990,20,1961,161000
5,1074,TA,NAmes,Gd,438.0,894.0,1074,396.0,1,0.0,TA,1956,20,1956,124000
9,2855,Ex,NoRidge,Ex,1182.0,1540.0,1540,774.0,2,877.0,Gd,2000,60,2000,405000
4,1120,TA,Edwards,Fa,0.0,744.0,792,480.0,1,0.0,TA,1950,50,1948,64000
6,2030,TA,NWAmes,Gd,156.0,848.0,1118,551.0,2,298.0,TA,1976,60,1976,195000
6,1682,Gd,CollgCr,Gd,505.0,804.0,804,523.0,2,116.0,TA,1998,60,1998,200500
6,1167,Gd,Gilbert,Gd,560.0,1158.0,1167,400.0,2,106.0,TA,1992,20,1992,173000
7,1892,Gd,Gilbert,TA,544.0,982.0,1008,431.0,2,647.0,Gd,2001,60,2000,226750
5,943,Gd,NAmes,TA,943.0,943.0,943,600.0,1,0.0,TA,1979,90,1979,135960
7,1277,TA,NAmes,TA,778.0,1277.0,1277,526.0,1,0.0,TA,1970,20,1970,167000
5,1313,TA,NAmes,Gd,310.0,1313.0,1313,610.0,1,217.0,TA,1995,20,1961,153000
5,883,Gd,Mitchel,TA,718.0,828.0,883,698.0,1,0.0,TA,1993,85,1992,149000
6,1549,Gd,Somerst,TA,550.0,744.0,757,440.0,2,216.0,TA,1999,160,1999,172900
5,1422,TA,Sawyer,TA,329.0,806.0,1081,288.0,1,41.0,TA,1951,50,1951,137500
6,1478,TA,NAmes,TA,189.0,1478.0,1478,442.0,1,0.0,TA,1957,20,1957,156500
5,1691,TA,SWISU,Gd,218.0,1026.0,1026,308.0,2,0.0,TA,1950,50,1924,127000
7,1459,Gd,CollgCr,Gd,0.0,1459.0,1459,527.0,2,100.0,Gd,2002,20,2002,192000
2,540,TA,IDOTRR,TA,480.0,480.0,540,200.0,1,0.0,TA,1950,30,1941,82000
8,2389,Ex,NridgHt,Gd,0.0,1054.0,1054,672.0,2,0.0,Gd,2006,60,2006,298236
6,958,Gd,NPkVill,TA,120.0,1078.0,958,440.0,2,0.0,TA,1976,120,1976,128000
8,3238,Gd,NoRidge,Gd,816.0,2033.0,2053,666.0,2,579.0,Gd,1996,50,1995,410000
6,848,Gd,CollgCr,Gd,659.0,848.0,848,420.0,1,170.0,Gd,2003,120,2003,131500
6,1196,TA,Edwards,Gd,0.0,684.0,684,528.0,1,0.0,TA,2000,50,1920,110000
9,1612,Ex,StoneBr,Ex,797.0,1612.0,1612,556.0,2,165.0,Gd,2006,120,2006,319900
5,889,TA,Mitchel,TA,647.0,864.0,889,484.0,1,0.0,TA,1984,20,1984,137500
4,1067,Gd,Sawyer,Gd,442.0,1067.0,1067,436.0,2,0.0,TA,1995,20,1950,128000
7,1850,Gd,NoRidge,Gd,595.0,973.0,979,467.0,2,0.0,Gd,1994,60,1994,248000
8,1372,Gd,Somerst,Gd,24.0,1363.0,1372,588.0,2,0.0,Gd,2008,20,2007,212700
4,869,,OldTown,TA,0.0,0.0,869,390.0,1,0.0,TA,1950,20,1948,89900
7,2009,TA,BrkSide,TA,300.0,989.0,1245,400.0,2,0.0,TA,1950,50,1939,150000
6,1196,Gd,NAmes,TA,616.0,1196.0,1196,297.0,1,74.0,TA,1956,20,1956,139000
7,1260,Gd,NWAmes,TA,747.0,1260.0,1260,598.0,2,174.0,Gd,1983,20,1983,181900
7,1573,Gd,CollgCr,Gd,788.0,1573.0,1573,544.0,2,110.0,Gd,2002,20,2002,227000
7,1258,Gd,Gilbert,Gd,0.0,1246.0,1258,462.0,2,0.0,Gd,2007,20,2007,173500
7,2673,Gd,NWAmes,Gd,602.0,1043.0,1539,441.0,2,229.0,TA,1991,60,1980,249000
6,1044,TA,Edwards,TA,504.0,960.0,1044,528.0,1,0.0,TA,1976,80,1976,133500
6,2294,TA,IDOTRR,TA,375.0,741.0,1497,658.0,3,234.0,TA,1963,80,1963,202500
8,2482,Gd,Timber,Gd,0.0,1094.0,1133,642.0,2,245.0,Gd,2006,60,2005,281213
7,2322,Gd,Gilbert,Gd,0.0,1035.0,1082,617.0,3,0.0,Gd,2006,60,2006,287602
5,1238,TA,NAmes,TA,432.0,864.0,1238,357.0,1,0.0,TA,1950,20,1950,102000
4,704,Fa,Sawyer,Fa,0.0,560.0,704,220.0,1,0.0,TA,2001,20,1946,88750
7,1478,Ex,Somerst,Gd,578.0,1470.0,1478,484.0,2,432.0,Ex,2009,20,2009,222000
5,988,TA,Mitchel,TA,0.0,988.0,988,520.0,1,0.0,TA,1954,20,1954,113000
6,848,Gd,CollgCr,Gd,685.0,848.0,848,420.0,1,170.0,Gd,2003,120,2003,140000
5,1015,TA,BrkSide,TA,489.0,768.0,1015,450.0,1,0.0,TA,1950,30,1925,88000
6,1661,TA,NAmes,Gd,831.0,992.0,1661,377.0,1,0.0,TA,1996,80,1955,165500
7,1553,Gd,Somerst,Gd,771.0,1553.0,1553,588.0,2,0.0,Gd,2004,20,2003,234500
4,1200,TA,NAmes,TA,155.0,1200.0,1200,294.0,1,0.0,TA,1956,20,1956,144000
5,2256,TA,OldTown,Fa,0.0,840.0,1128,0.0,2,0.0,TA,1950,190,1910,76500
8,2630,Gd,NoRidge,Gd,986.0,1470.0,1470,696.0,2,473.0,Gd,1998,60,1998,315000
4,901,TA,OldTown,TA,0.0,901.0,901,281.0,1,0.0,TA,2000,20,1954,107900
8,2052,Gd,Mitchel,Gd,445.0,1107.0,1040,642.0,2,0.0,Gd,2001,60,2000,251000
6,1456,Gd,NPkVill,TA,70.0,855.0,855,460.0,2,0.0,TA,1976,160,1976,144000
4,864,TA,OldTown,TA,0.0,576.0,864,528.0,1,0.0,TA,1950,20,1950,105000
5,936,Gd,Edwards,TA,936.0,936.0,936,384.0,1,162.0,TA,1967,85,1967,118500
5,1432,Gd,Veenker,Gd,680.0,1360.0,1432,588.0,1,0.0,TA,1978,80,1978,194000
5,2140,TA,NAmes,TA,388.0,744.0,825,549.0,2,0.0,TA,1965,60,1965,177500
5,1152,TA,NAmes,TA,500.0,1152.0,1152,636.0,1,84.0,TA,1953,20,1953,137500
5,988,TA,NAmes,TA,532.0,988.0,988,264.0,1,0.0,TA,1958,190,1958,119000
5,1464,TA,NAmes,TA,732.0,732.0,732,470.0,1,0.0,TA,1968,60,1968,141000
4,1440,Gd,Edwards,TA,1440.0,1440.0,1440,0.0,2,0.0,TA,1977,90,1977,150000
5,1301,TA,BrkSide,Fa,405.0,1145.0,1301,440.0,1,0.0,TA,1950,30,1924,100000
4,1056,TA,SawyerW,TA,1056.0,1056.0,1056,384.0,1,0.0,TA,1966,20,1966,107000
5,1092,TA,Edwards,TA,609.0,1092.0,1092,264.0,1,0.0,TA,1966,20,1966,123000
7,1690,TA,OldTown,TA,0.0,815.0,815,225.0,1,0.0,TA,1950,75,1916,144000
6,1004,TA,NAmes,TA,578.0,1004.0,1004,480.0,1,180.0,TA,1970,20,1970,149000
5,1784,Gd,Crawfor,TA,0.0,747.0,892,180.0,1,0.0,TA,1950,70,1914,138887
6,1056,TA,OldTown,TA,1056.0,1056.0,1056,576.0,0,0.0,TA,1980,90,1980,144000
7,2034,Gd,CollgCr,Gd,739.0,1057.0,1057,645.0,2,573.0,TA,1998,60,1997,219500
6,1913,TA,Crawfor,TA,0.0,896.0,1172,342.0,1,0.0,TA,1950,50,1928,177000
5,784,TA,BrkSide,Gd,784.0,784.0,784,0.0,1,0.0,TA,1950,45,1924,109500
4,768,TA,Edwards,TA,544.0,768.0,768,355.0,1,0.0,TA,1955,20,1955,125000
7,1502,Gd,NridgHt,Gd,0.0,1502.0,1502,644.0,2,268.0,Gd,2009,20,2009,233170
5,976,TA,IDOTRR,TA,305.0,976.0,976,215.0,1,0.0,TA,1950,30,1942,102000
6,2380,Gd,NAmes,TA,187.0,1021.0,1465,596.0,2,113.0,TA,1979,60,1965,129000
6,1982,TA,Crawfor,TA,454.0,572.0,1182,501.0,2,242.0,TA,1986,80,1986,208000
9,1838,Gd,Timber,Ex,1455.0,1838.0,1838,682.0,2,382.0,Ex,2006,20,2005,359900
5,1426,TA,BrkSide,TA,0.0,966.0,1014,230.0,1,0.0,TA,1992,50,1930,131750
6,2048,TA,Mitchel,TA,0.0,1958.0,2048,776.0,3,0.0,TA,1976,90,1976,170000
6,1400,Gd,SawyerW,TA,331.0,676.0,698,465.0,2,141.0,TA,1986,60,1986,162000
5,1000,Gd,ClearCr,TA,104.0,1000.0,1000,575.0,1,0.0,TA,1963,20,1963,164000
6,1984,TA,OldTown,TA,196.0,1242.0,1242,360.0,2,0.0,TA,1983,60,1910,160000
8,1646,Ex,Crawfor,Gd,1373.0,1594.0,1646,525.0,2,186.0,Gd,2005,120,2004,246000
6,856,TA,SWISU,TA,238.0,856.0,856,399.0,1,0.0,TA,1950,30,1939,126000
4,1701,Fa,OldTown,Fa,0.0,600.0,1101,0.0,2,0.0,Fa,1950,190,1920,94550
6,1285,TA,Mitchel,Gd,679.0,1243.0,1285,473.0,2,0.0,TA,1977,80,1977,190000
7,1689,Gd,Timber,Gd,0.0,1689.0,1689,433.0,2,0.0,Gd,2007,20,2006,231713
4,892,Gd,IDOTRR,Gd,749.0,858.0,892,0.0,1,0.0,TA,1950,85,1923,70000
5,984,TA,Sawyer,TA,53.0,984.0,984,384.0,1,0.0,TA,1963,20,1963,128000
5,1308,TA,Crawfor,TA,428.0,728.0,976,256.0,1,0.0,Gd,1950,50,1940,160000
7,1266,Gd,Blmngtn,Gd,0.0,1266.0,1266,388.0,2,16.0,Gd,2007,20,2007,185485
8,1801,Gd,Gilbert,Gd,0.0,893.0,901,800.0,2,0.0,Gd,2005,60,2005,239900
5,1872,,Mitchel,TA,0.0,0.0,936,484.0,2,0.0,TA,1976,90,1976,100000
6,1509,Gd,Gilbert,Gd,457.0,783.0,807,393.0,2,0.0,Gd,2003,60,2002,183200
5,1362,Gd,Mitchel,TA,732.0,796.0,796,480.0,1,0.0,TA,1995,50,1993,143000
7,1341,Gd,Gilbert,Gd,637.0,1300.0,1341,506.0,1,0.0,TA,1990,20,1990,171500
5,1486,TA,Edwards,TA,637.0,1486.0,1486,480.0,1,0.0,TA,1999,20,1964,167000
8,1718,Ex,CollgCr,Gd,1288.0,1705.0,1718,826.0,2,336.0,Gd,2008,20,2007,297000
6,1218,Gd,Somerst,Gd,27.0,1218.0,1218,676.0,2,0.0,Gd,2009,20,2009,208300
5,1288,Fa,SWISU,TA,384.0,824.0,824,240.0,1,0.0,TA,1950,50,1941,112000
7,1055,Gd,NPkVill,TA,435.0,1057.0,1055,440.0,2,0.0,TA,1975,120,1975,123000
5,1092,Gd,Mitchel,TA,0.0,1092.0,1092,0.0,1,0.0,TA,2008,20,2007,146000
8,1625,Gd,Crawfor,Gd,1573.0,1573.0,1625,495.0,2,473.0,Gd,2007,120,2006,375000
8,1666,TA,OldTown,Gd,0.0,588.0,833,228.0,1,0.0,TA,1996,70,1925,161000
5,888,TA,NAmes,TA,192.0,920.0,888,240.0,1,53.0,TA,1961,20,1961,120000
5,882,TA,NAmes,Gd,148.0,720.0,882,240.0,1,52.0,TA,1952,20,1952,116000
7,1111,TA,OldTown,TA,0.0,572.0,572,288.0,1,0.0,TA,1950,50,1926,116900
8,1935,Gd,Somerst,TA,544.0,832.0,832,552.0,2,110.0,Gd,2009,60,2009,263435
5,840,TA,OldTown,TA,116.0,672.0,840,0.0,1,0.0,TA,1950,45,1930,87000
6,1786,Gd,CollgCr,Gd,648.0,824.0,905,684.0,2,0.0,TA,1997,60,1997,204750
6,1537,TA,NAmes,Gd,0.0,1319.0,1537,462.0,1,237.0,Gd,2005,20,1962,174000
4,672,TA,OldTown,TA,0.0,672.0,672,308.0,1,0.0,Gd,2005,30,1940,86900
5,980,TA,Sawyer,TA,68.0,980.0,980,400.0,1,0.0,TA,1962,20,1962,110000
6,1352,TA,Sawyer,TA,371.0,663.0,663,299.0,1,143.0,TA,1969,60,1969,158000
6,1933,Gd,Somerst,Gd,0.0,894.0,894,668.0,2,74.0,Gd,2007,60,2007,214000
6,976,TA,NAmes,Gd,760.0,976.0,976,504.0,1,203.0,TA,2004,20,1968,157500
